                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.1035,                 1.3525,                 1.1134,                0.59714,                0.64409,                0.62632,                0.43327,                0.99081,                 1.2276,                 1.1193,             0.00063744,             0.00063744,             0.00063744
                    101,                  1.114,                  1.368,                 1.1251,                0.59675,                0.64816,                0.61663,                0.42834,                0.98378,                 1.2216,                 1.1191,             0.00063125,             0.00063125,             0.00063125
                    102,                 1.1141,                  1.354,                 1.1219,                0.59456,                0.65703,                0.61792,                0.43394,                0.98301,                 1.2232,                 1.1137,             0.00062506,             0.00062506,             0.00062506
                    103,                 1.1062,                  1.349,                 1.1199,                0.62692,                0.63596,                 0.6327,                0.44227,                0.98674,                 1.2237,                 1.1169,             0.00061887,             0.00061887,             0.00061887
                    104,                   1.11,                  1.356,                 1.1311,                0.58094,                0.62189,                0.62011,                0.42602,                 1.0009,                 1.2705,                 1.1263,             0.00061269,             0.00061269,             0.00061269
                    105,                 1.1152,                 1.3478,                 1.1188,                0.60033,                0.66961,                0.62593,                0.42785,                0.98558,                 1.2287,                 1.1158,              0.0006065,              0.0006065,              0.0006065
                    106,                 1.0931,                 1.3188,                 1.1198,                0.60709,                0.64783,                0.63719,                0.44259,                0.98616,                 1.2346,                 1.1153,             0.00060031,             0.00060031,             0.00060031
                    107,                 1.1097,                 1.3496,                  1.112,                0.59774,                0.64478,                0.63197,                 0.4263,                 1.0189,                 1.2351,                 1.1357,             0.00059413,             0.00059413,             0.00059413
                    108,                 1.0981,                 1.3251,                 1.1198,                0.63258,                0.64902,                 0.6425,                0.44476,                0.96862,                 1.2083,                 1.1073,             0.00058794,             0.00058794,             0.00058794
                    109,                 1.0864,                 1.3247,                 1.1104,                0.62874,                0.65604,                0.64612,                0.44777,                0.97978,                 1.1948,                 1.1118,             0.00058175,             0.00058175,             0.00058175
                    110,                 1.0711,                 1.3034,                 1.1013,                0.60831,                0.64872,                0.64929,                0.45536,                0.95963,                 1.2001,                 1.0984,             0.00057556,             0.00057556,             0.00057556
                    111,                 1.0979,                 1.3302,                 1.1114,                0.61486,                0.69386,                0.65492,                0.46066,                0.97602,                 1.1994,                  1.111,             0.00056938,             0.00056938,             0.00056938
                    112,                 1.0914,                 1.2993,                 1.1107,                 0.6735,                0.65639,                0.66185,                0.46761,                0.96245,                 1.2582,                 1.1003,             0.00056319,             0.00056319,             0.00056319
                    113,                 1.0655,                 1.2801,                 1.0984,                0.59738,                0.66445,                0.66861,                0.47767,                0.94955,                 1.1775,                 1.0972,               0.000557,               0.000557,               0.000557
                    114,                 1.0949,                 1.3018,                 1.1006,                0.61482,                0.68819,                0.65897,                0.45014,                 1.0006,                 1.2233,                 1.1247,             0.00055081,             0.00055081,             0.00055081
                    115,                 1.0736,                 1.2943,                 1.1028,                0.66369,                0.66047,                0.68646,                0.49064,                0.94238,                 1.1473,                 1.0885,             0.00054463,             0.00054463,             0.00054463
                    116,                 1.0655,                  1.296,                 1.0965,                0.64826,                0.67733,                0.67799,                0.47505,                0.97278,                 1.1929,                 1.1102,             0.00053844,             0.00053844,             0.00053844
                    117,                   1.08,                 1.2954,                 1.1051,                0.66406,                0.68059,                0.69383,                0.48722,                0.95569,                 1.1603,                 1.0986,             0.00053225,             0.00053225,             0.00053225
                    118,                 1.0734,                 1.3242,                 1.1117,                0.66872,                0.67669,                0.68922,                0.48629,                 0.9424,                 1.1566,                 1.0914,             0.00052606,             0.00052606,             0.00052606
                    119,                 1.0821,                 1.2888,                 1.0931,                0.63471,                 0.6723,                0.68063,                 0.4778,                0.97919,                 1.1591,                 1.1066,             0.00051988,             0.00051988,             0.00051988
                    120,                 1.0745,                 1.2783,                 1.1025,                0.68556,                0.68722,                0.69072,                0.48627,                0.95293,                 1.1332,                 1.0927,             0.00051369,             0.00051369,             0.00051369
                    121,                 1.0645,                 1.2694,                 1.1077,                0.64614,                0.66709,                0.68207,                0.48386,                0.97633,                 1.1529,                 1.1127,              0.0005075,              0.0005075,              0.0005075
                    122,                 1.0893,                  1.271,                 1.0891,                0.67489,                0.69912,                0.70601,                0.50508,                0.93797,                 1.1292,                 1.0849,             0.00050131,             0.00050131,             0.00050131
                    123,                 1.0535,                 1.2507,                 1.1087,                0.63294,                0.70126,                0.69997,                0.50082,                0.92954,                 1.1194,                  1.083,             0.00049513,             0.00049513,             0.00049513
                    124,                 1.0398,                 1.2564,                 1.0873,                0.67607,                0.68206,                0.69297,                0.49462,                0.93317,                 1.1315,                 1.0865,             0.00048894,             0.00048894,             0.00048894
                    125,                 1.0469,                 1.2578,                 1.0903,                0.63418,                0.72222,                0.70689,                0.51167,                0.91819,                 1.1037,                 1.0758,             0.00048275,             0.00048275,             0.00048275
                    126,                 1.0479,                 1.2461,                 1.0904,                0.65198,                0.68882,                0.68777,                0.49011,                0.93042,                  1.133,                 1.0869,             0.00047656,             0.00047656,             0.00047656
                    127,                 1.0582,                 1.2518,                 1.0929,                0.67736,                0.68867,                0.71314,                0.51539,                0.92108,                 1.1131,                 1.0775,             0.00047038,             0.00047038,             0.00047038
                    128,                  1.059,                 1.2513,                 1.0859,                0.70744,                0.67431,                0.71959,                0.52043,                0.91963,                 1.0838,                 1.0784,             0.00046419,             0.00046419,             0.00046419
                    129,                 1.0571,                 1.2685,                 1.0934,                0.65707,                 0.6717,                0.69769,                0.50473,                0.91973,                 1.1113,                 1.0768,               0.000458,               0.000458,               0.000458
                    130,                 1.0361,                 1.2498,                 1.0764,                0.64701,                 0.6967,                0.69761,                0.50745,                0.91452,                 1.1036,                 1.0732,             0.00045181,             0.00045181,             0.00045181
                    131,                 1.0403,                  1.247,                 1.0932,                0.68342,                0.69852,                0.71911,                0.52487,                0.91369,                 1.0846,                 1.0763,             0.00044563,             0.00044563,             0.00044563
                    132,                 1.0505,                 1.2249,                  1.077,                0.69528,                0.70584,                0.73796,                0.53505,                0.91111,                 1.0707,                 1.0731,             0.00043944,             0.00043944,             0.00043944
                    133,                 1.0353,                 1.2327,                 1.0799,                0.67671,                 0.7318,                0.72317,                0.51961,                0.91674,                 1.1079,                 1.0776,             0.00043325,             0.00043325,             0.00043325
                    134,                 1.0332,                 1.2385,                 1.0845,                0.67723,                0.70598,                0.72492,                0.52747,                0.92379,                 1.0715,                  1.076,             0.00042706,             0.00042706,             0.00042706
                    135,                 1.0424,                 1.2313,                 1.0715,                0.69548,                0.69666,                0.73008,                0.52573,                0.90101,                 1.0712,                 1.0705,             0.00042087,             0.00042087,             0.00042087
                    136,                 1.0219,                 1.1954,                 1.0706,                0.69897,                0.70038,                0.73991,                0.53226,                 0.9103,                 1.0662,                 1.0739,             0.00041469,             0.00041469,             0.00041469
                    137,                 1.0249,                  1.221,                 1.0692,                0.67259,                0.69791,                0.73716,                0.53696,                0.89921,                 1.0852,                 1.0676,              0.0004085,              0.0004085,              0.0004085
                    138,                 1.0124,                 1.1952,                 1.0681,                0.71559,                0.69244,                0.73277,                0.52316,                0.91213,                 1.0642,                 1.0689,             0.00040231,             0.00040231,             0.00040231
                    139,                 1.0372,                 1.2115,                 1.0813,                  0.733,                0.70207,                0.74568,                0.54206,                0.89633,                 1.0398,                 1.0647,             0.00039613,             0.00039613,             0.00039613
                    140,                   1.02,                 1.2042,                 1.0704,                0.73176,                0.68132,                0.74996,                0.54809,                 0.8888,                 1.0311,                 1.0605,             0.00038994,             0.00038994,             0.00038994
                    141,                 1.0244,                  1.203,                 1.0749,                0.71638,                0.69693,                0.75004,                0.54318,                0.89809,                 1.0478,                 1.0641,             0.00038375,             0.00038375,             0.00038375
                    142,                 1.0116,                 1.1846,                 1.0651,                0.71273,                0.73152,                 0.7581,                0.55206,                0.88328,                 1.0432,                 1.0559,             0.00037756,             0.00037756,             0.00037756
                    143,                 1.0141,                 1.2005,                  1.082,                0.68512,                 0.7201,                0.75071,                0.54225,                0.90026,                 1.0579,                 1.0619,             0.00037138,             0.00037138,             0.00037138
                    144,                 1.0042,                 1.1909,                 1.0651,                0.75568,                 0.7221,                0.76719,                0.55469,                0.88171,                 1.0345,                 1.0506,             0.00036519,             0.00036519,             0.00036519
                    145,                0.99999,                 1.1577,                 1.0699,                0.70975,                 0.7506,                0.77427,                 0.5671,                0.88327,                  1.007,                  1.056,               0.000359,               0.000359,               0.000359
                    146,                 1.0129,                 1.1835,                 1.0727,                0.74839,                0.71177,                 0.7664,                0.56105,                0.87782,                 1.0272,                 1.0532,             0.00035281,             0.00035281,             0.00035281
                    147,                 1.0227,                 1.1841,                   1.07,                0.71142,                0.73643,                 0.7712,                0.56587,                  0.885,                  1.015,                 1.0567,             0.00034663,             0.00034663,             0.00034663
                    148,                 1.0146,                 1.1826,                 1.0706,                0.72832,                0.72445,                0.77151,                0.57163,                0.86919,                 1.0135,                 1.0472,             0.00034044,             0.00034044,             0.00034044
                    149,                 1.0129,                 1.1781,                 1.0684,                0.71347,                0.75007,                0.77042,                0.56482,                0.87702,                 0.9964,                 1.0526,             0.00033425,             0.00033425,             0.00033425
                    150,                0.99777,                 1.1477,                 1.0601,                 0.7362,                0.75178,                0.78311,                0.57963,                0.86674,                0.99512,                 1.0458,             0.00032806,             0.00032806,             0.00032806
                    151,                0.99774,                 1.1496,                 1.0574,                0.76709,                 0.7401,                0.79795,                0.58831,                0.86206,                0.97068,                 1.0453,             0.00032188,             0.00032188,             0.00032188
                    152,                 1.0074,                 1.1504,                 1.0604,                0.72954,                0.74365,                0.77914,                0.57624,                0.86921,                0.99346,                  1.048,             0.00031569,             0.00031569,             0.00031569
                    153,                0.97443,                 1.1692,                 1.0546,                0.73147,                0.75592,                0.79024,                0.58219,                0.87626,                0.97478,                 1.0531,              0.0003095,              0.0003095,              0.0003095
                    154,                 1.0016,                 1.1633,                 1.0577,                0.73234,                 0.7571,                0.78894,                0.57627,                0.87311,                  0.974,                 1.0489,             0.00030331,             0.00030331,             0.00030331
                    155,                0.99663,                 1.1603,                 1.0608,                  0.725,                 0.7461,                0.78982,                0.57951,                0.86448,                0.96788,                 1.0452,             0.00029713,             0.00029713,             0.00029713
                    156,                0.98541,                 1.1229,                 1.0595,                0.75263,                0.78024,                0.80759,                0.59532,                0.85217,                0.94756,                 1.0379,             0.00029094,             0.00029094,             0.00029094
                    157,                 0.9716,                 1.1279,                 1.0427,                 0.7628,                0.74854,                0.79178,                0.58474,                0.85767,                0.94979,                 1.0427,             0.00028475,             0.00028475,             0.00028475
                    158,                0.98326,                 1.1314,                 1.0586,                0.76535,                0.74985,                0.80608,                0.60085,                0.84639,                  0.944,                 1.0363,             0.00027856,             0.00027856,             0.00027856
                    159,                0.99523,                 1.1465,                 1.0632,                0.74994,                0.75623,                 0.8084,                0.59535,                0.85819,                0.94511,                 1.0421,             0.00027237,             0.00027237,             0.00027237
                    160,                0.99113,                 1.1278,                 1.0605,                0.77875,                0.73914,                 0.8091,                0.60703,                0.85804,                0.94348,                 1.0432,             0.00026619,             0.00026619,             0.00026619
                    161,                0.99303,                 1.1249,                 1.0572,                0.78815,                0.75332,                0.81696,                0.60404,                0.85381,                 0.9494,                 1.0383,                0.00026,                0.00026,                0.00026
                    162,                0.97349,                 1.1123,                 1.0637,                0.74823,                0.76857,                0.81004,                0.60285,                0.84543,                0.95158,                 1.0367,             0.00025381,             0.00025381,             0.00025381
                    163,                0.98549,                 1.1265,                 1.0519,                 0.7683,                0.79522,                0.82653,                 0.6155,                0.83443,                0.95338,                 1.0287,             0.00024762,             0.00024762,             0.00024762
                    164,                0.96495,                  1.102,                 1.0524,                0.75613,                0.78528,                0.82423,                0.61525,                0.83401,                0.91668,                 1.0278,             0.00024144,             0.00024144,             0.00024144
                    165,                0.97582,                 1.1264,                 1.0542,                0.76819,                0.75439,                0.81189,                0.60387,                0.83942,                0.92058,                 1.0305,             0.00023525,             0.00023525,             0.00023525
                    166,                0.97938,                 1.1088,                 1.0576,                0.76695,                0.76545,                0.82272,                0.61658,                0.83431,                0.90533,                 1.0284,             0.00022906,             0.00022906,             0.00022906
                    167,                0.97032,                 1.1058,                 1.0474,                0.79141,                0.75265,                0.82183,                0.61116,                0.83928,                0.91596,                 1.0313,             0.00022288,             0.00022288,             0.00022288
                    168,                0.97527,                 1.1079,                 1.0515,                0.76829,                0.76799,                0.82782,                0.62062,                0.83706,                0.90437,                   1.03,             0.00021669,             0.00021669,             0.00021669
                    169,                0.97506,                 1.0763,                 1.0453,                0.78235,                0.77486,                0.82868,                0.61985,                0.84362,                0.90675,                 1.0326,              0.0002105,              0.0002105,              0.0002105
                    170,                0.98359,                 1.0873,                 1.0545,                0.77749,                0.77972,                0.83917,                0.62541,                0.83703,                0.89075,                  1.028,             0.00020431,             0.00020431,             0.00020431
                    171,                0.97154,                  1.093,                 1.0452,                0.76772,                0.78463,                0.83223,                0.62051,                0.83553,                0.90039,                 1.0279,             0.00019813,             0.00019813,             0.00019813
                    172,                0.95356,                  1.055,                 1.0418,                0.79532,                0.77239,                0.83735,                0.62605,                0.82578,                0.87993,                 1.0232,             0.00019194,             0.00019194,             0.00019194
                    173,                0.97072,                 1.0536,                 1.0484,                 0.7963,                0.78142,                0.84173,                0.63422,                0.82228,                0.88396,                  1.023,             0.00018575,             0.00018575,             0.00018575
                    174,                0.96474,                 1.0546,                 1.0448,                0.78625,                0.78005,                  0.844,                0.63863,                0.82773,                0.87814,                 1.0258,             0.00017956,             0.00017956,             0.00017956
                    175,                0.96196,                 1.0697,                 1.0461,                0.79028,                0.78577,                0.83514,                0.62989,                0.81845,                0.86876,                 1.0221,             0.00017338,             0.00017338,             0.00017338
                    176,                0.96209,                 1.0942,                 1.0456,                0.77263,                0.78652,                0.83721,                0.63735,                0.81471,                0.86361,                 1.0199,             0.00016719,             0.00016719,             0.00016719
                    177,                0.96441,                 1.0607,                 1.0439,                0.76233,                0.80357,                0.84404,                0.63963,                0.81605,                0.87089,                 1.0175,               0.000161,               0.000161,               0.000161
                    178,                0.96111,                 1.0564,                 1.0417,                 0.8056,                0.78617,                 0.8536,                0.64775,                 0.8195,                0.85383,                 1.0197,             0.00015481,             0.00015481,             0.00015481
                    179,                0.96797,                 1.0488,                 1.0286,                0.79652,                0.81249,                0.85449,                0.64774,                0.81616,                0.84734,                 1.0202,             0.00014862,             0.00014862,             0.00014862
                    180,                0.93925,                 1.0289,                 1.0296,                0.82984,                0.77669,                0.85257,                0.65198,                0.80679,                 0.8374,                 1.0147,             0.00014244,             0.00014244,             0.00014244
                    181,                 0.9459,                 1.0633,                 1.0372,                0.80684,                0.78392,                0.84998,                0.64536,                0.81042,                0.84566,                 1.0155,             0.00013625,             0.00013625,             0.00013625
                    182,                0.94711,                 1.0473,                 1.0396,                0.79028,                0.80102,                0.84963,                0.65086,                0.81088,                0.84089,                 1.0172,             0.00013006,             0.00013006,             0.00013006
                    183,                0.94912,                 1.0617,                 1.0297,                0.80866,                0.77514,                0.84701,                 0.6481,                0.80449,                0.83789,                 1.0144,             0.00012387,             0.00012387,             0.00012387
                    184,                0.92768,                 1.0153,                 1.0327,                0.77485,                0.80158,                0.85336,                0.64786,                0.80637,                0.83795,                 1.0126,             0.00011769,             0.00011769,             0.00011769
                    185,                0.94792,                 1.0259,                 1.0301,                0.83209,                0.75969,                0.85758,                0.65126,                0.80678,                0.82939,                 1.0136,              0.0001115,              0.0001115,              0.0001115
                    186,                0.94161,                 1.0445,                 1.0377,                0.79905,                 0.8087,                0.85927,                0.65707,                0.80453,                0.82594,                 1.0138,             0.00010531,             0.00010531,             0.00010531
                    187,                0.94925,                 1.0394,                 1.0326,                0.79772,                0.78876,                0.85847,                0.65555,                0.79809,                0.83102,                 1.0119,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    188,                0.94061,                 1.0174,                 1.0335,                0.81158,                0.79585,                0.86544,                0.66228,                0.79718,                0.81617,                 1.0089,             9.2937e-05,             9.2937e-05,             9.2937e-05
                    189,                0.94519,                 1.0366,                 1.0467,                0.80382,                0.79111,                 0.8567,                0.65357,                 0.8053,                0.82667,                 1.0142,              8.675e-05,              8.675e-05,              8.675e-05
                    190,                0.94162,                 1.0262,                 1.0303,                0.80421,                0.80958,                0.86521,                0.66066,                 0.7971,                0.81135,                 1.0087,             8.0563e-05,             8.0563e-05,             8.0563e-05
                    191,                0.93046,                 1.0367,                 1.0737,                0.81761,                0.77552,                0.85174,                0.64407,                0.82248,                0.85272,                 1.0159,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    192,                0.91544,                0.97907,                 1.0664,                 0.7875,                0.80334,                0.84496,                0.63625,                 0.8252,                0.86507,                 1.0182,             6.8188e-05,             6.8188e-05,             6.8188e-05
                    193,                 0.9066,                0.97271,                 1.0656,                0.79906,                0.80054,                0.84898,                0.63924,                0.82712,                 0.8505,                 1.0196,                6.2e-05,                6.2e-05,                6.2e-05
                    194,                0.89386,                0.94791,                 1.0633,                0.78445,                0.81209,                0.85166,                0.64406,                0.81763,                0.84499,                 1.0145,             5.5813e-05,             5.5813e-05,             5.5813e-05
                    195,                0.87394,                0.93591,                 1.0578,                0.82655,                0.77887,                0.85521,                  0.647,                0.80979,                0.83324,                 1.0109,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    196,                0.88956,                0.93618,                 1.0633,                0.79573,                 0.8045,                0.85704,                0.64859,                0.80764,                0.82797,                 1.0099,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    197,                0.87943,                 0.9364,                  1.047,                0.79317,                0.81339,                0.85896,                0.65079,                0.80653,                0.82521,                 1.0095,              3.725e-05,              3.725e-05,              3.725e-05
                    198,                0.87454,                0.92307,                 1.0515,                0.81855,                0.80099,                 0.8601,                0.65179,                0.80351,                0.82085,                 1.0087,             3.1063e-05,             3.1063e-05,             3.1063e-05
                    199,                0.87589,                0.92878,                 1.0538,                0.81222,                 0.8073,                0.86423,                0.65705,                0.79994,                0.81373,                 1.0069,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    200,                0.86837,                0.90722,                  1.038,                0.81006,                0.80769,                0.86496,                0.65696,                0.80001,                 0.8134,                 1.0067,             1.8688e-05,             1.8688e-05,             1.8688e-05
